utilization,age,past_due_30_59,debt_ratio,monthly_income,open_credit_lines,past_due_90,real_estate_loans,past_due_60_89,num_dependents,default
0.114987053,62,0.0,1267.0,5400.0,5,0.0,1,0.0,2.0,0
0.00870537,73,0.0,0.498553012,3800.0,6,0.0,1,0.0,0.0,0
0.214501392,32,0.0,0.211998924,3716.0,8,0.0,0,0.0,2.0,0
0.981277593259,60,0.0,118.0,5400.0,5,0.0,0,0.0,0.0,0
0.23049277,60,0.0,1.017327557,3000.0,10,0.0,1,0.0,0.0,0
0.040807642,65,0.0,1267.0,5400.0,4,0.0,2,0.0,0.0,0
0.415362137,40,1.0,0.302224815,10750.0,10,0.0,2,0.0,3.0,0
0.044086901,95,0.0,695.0,5400.0,3,0.0,1,0.0,0.0,0
0.068458929,52,1.0,0.268017223,10750.0,15,0.0,2,0.0,2.0,0
0.075682549,58,0.0,0.239862238,9000.0,9,0.0,2,0.0,1.0,0
0.077707821,41,0.0,0.324667905,7000.0,3,0.0,1,0.0,0.0,0
0.062037518,36,0.0,1267.0,5400.0,9,0.0,1,0.0,0.0,0
0.609794898,62,1.0,1077.0,5400.0,15,0.0,0,0.0,0.0,1
0.196960608,40,0.0,0.006959443,4166.0,1,0.0,0,0.0,0.0,0
0.052943464,48,0.0,0.122149328,3200.0,6,0.0,0,0.0,1.0,0
0.316497885,37,1.0,0.106163786,5726.0,5,0.0,0,0.0,2.0,0
0.0,30,1.0,0.217105263,1975.0,5,0.0,0,0.0,0.0,0
0.981277593259,69,0.0,0.929302547,4200.0,5,0.0,2,0.0,1.0,0
0.981277593259,49,1.0,0.274894271,2600.0,8,0.0,0,0.0,0.0,0
0.136989906,57,0.0,0.257227101,10750.0,7,0.0,1,0.0,0.0,0
0.621404765,61,0.0,1267.0,5400.0,2,0.0,1,0.0,0.0,0
0.024776401,42,0.0,1267.0,5400.0,2,0.0,1,0.0,0.0,0
0.927507249,53,0.0,0.318934485,2777.0,4,0.0,0,0.0,1.0,0
